#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18D20
#Date Time: 2020-09-17 16:15:27.334
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1.1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / 100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 2 (V),Math 1 (A)
-0.00196325,0.2945902938881517,0.0003239976184594401
-0.001962,0.3128987149301115,0.0003372703610228378
-0.00196075,0.3275454517636726,0.0003505431035862295
-0.0019595,0.3312071359720712,0.0003604976605087838
-0.001958249999999999,0.3495155570140343,0.0003737704030721861
-0.001957,0.3568389254308149,0.0003837249599947298
-0.00195575,0.3714856622643826,0.0003870431456355793
-0.0019545,0.3824707148895585,0.000400315888198977
-0.00195325,0.3861323990979504,0.0004169068164032241
-0.001952,0.3971174517231213,0.0004301795589666158
-0.00195075,0.4081025043483021,0.0004434523015300196
-0.0019495,0.4264109253902535,0.0004534068584525633
-0.00194825,0.4337342938070458,0.0004633614153751162
-0.001947,0.4447193464322283,0.0004766341579385184
-0.00194575,0.4593660832657894,0.0004865887148610621
-0.0019445,0.4703511358909653,0.0004998614574244598
-0.00194325,0.4849978727245331,0.0005064978287061588
-0.001942,0.4959829253497089,0.0005164523856287071
-0.00194075,0.4996446095580992,0.0005297251281920987
-0.0019395,0.5106296621832767,0.0005429978707555025
-0.00193825,0.5252763990168379,0.0005562706133188941
-0.001937,0.5399231358504124,0.0005662251702414485
-0.00193575,0.5472465042672028,0.0005761797271640013
-0.0019345,0.561893241100764,0.0005861342840865451
-0.00193325,0.5765399779343319,0.0005994070266499428
-0.001932,0.5838633463511158,0.0006126797692133406
-0.00193075,0.5948483989762916,0.0006193161404950394
-0.0019295,0.6058334516014624,0.0006359070686992789
-0.00192825,0.6131568200182513,0.0006491798112626843
-0.001926999999999999,0.6314652410602161,0.0006558161825443876
-0.00192575,0.6424502936853869,0.0006657707394669314
-0.0019245,0.6497736621021775,0.0006790434820303337
-0.00192325,0.6644203989357387,0.0006889980389528774
-0.001922,0.6717437673525226,0.0007022707815162752
-0.00192075,0.6827288199776984,0.0007122253384388234
-0.0019195,0.6937138726028742,0.0007254980810022212
-0.00191825,0.7083606094364354,0.0007387708235656128
-0.001917,0.7193456620616179,0.0007520435661290166
-0.001915749999999999,0.7303307146868003,0.0007586799374107215
-0.0019145,0.7449774515203615,0.0007719526799741132
-0.00191325,0.7559625041455407,0.0007819072368966645
-0.001912,0.7632858725623213,0.0007885436081783604
-0.00191075,0.7779326093958892,0.000801816350741758
-0.0019095,0.78891766202106,0.0008184072789459976
-0.00190825,0.7925793462294568,0.0008250436502277041
-0.001907,0.8108877672714082,0.0008349982071502478
-0.00190575,0.8328578725217683,0.0008449527640728006
-0.0019045,0.8328578725217733,0.0008615436922770539
-0.00190325,0.8438429251469441,0.0008748164348404455
-0.001902,0.8548279777721199,0.0008880891774038432
-0.00190075,0.8731363988140797,0.0008947255486855421
-0.0018995,0.8841214514392557,0.0009079982912489398
-0.00189825,0.8951065040644265,0.0009179528481714836
-0.001897,0.9024298724812154,0.0009312255907348859
-0.00189575,0.9134149251063862,0.0009411801476574296
-0.0018945,0.9207382935231752,0.0009511347045799824
-0.00189325,0.9390467145651399,0.0009677256327842341
-0.001892,0.9500317671903107,0.0009776801897067779
-0.00189075,0.9610168198154865,0.0009843165609884766
-0.0018895,0.9720018724406623,0.000994271117911025
-0.00188825,0.9829869250658383,0.001007543860474423
-0.001887,0.9903102934826189,0.001017498417396967
-0.00188575,1.00495703031619,0.001030771159960369
-0.001884499999999999,1.015942082941373,0.001040725716882925
-0.00188325,1.030588819774934,0.001057316645087164
-0.001882,1.037912188191721,0.001067271202009717
-0.00188075,1.045235556608501,0.001077225758932261
-0.0018795,1.059882293442069,0.001090498501495658
-0.00187825,1.070867346067245,0.001100453058418207
-0.001877,1.081852398692421,0.001110407615340755
-0.00187575,1.092837451317592,0.001123680357904147
-0.0018745,1.107484188151165,0.001136953100467551
-0.001873249999999999,1.122130924984736,0.001153544028671801
-0.001872,1.129454293401516,0.001160180399953497
-0.00187075,1.133115977609915,0.001166816771235203
-0.0018695,1.147762714443476,0.001183407699439443
-0.00186825,1.162409451277044,0.001193362256361991
-0.001867,1.177056188110605,0.001203316813284535
-0.00186575,1.188041240735787,0.001216589555847937
-0.0018645,1.195364609152568,0.001226544112770481
-0.00186325,1.206349661777747,0.001233180484052184
-0.001862,1.22099639861132,0.001249771412256434
-0.00186075,1.231981451236491,0.00125640778353813
-0.0018595,1.242966503861667,0.001269680526101528
-0.00185825,1.253951556486843,0.001282953268664926
-0.001857,1.264936609112018,0.001296226011228323
-0.00185575,1.275921661737189,0.001306180568150867
-0.0018545,1.28690671436237,0.00131613512507342
-0.00185325,1.301553451195931,0.001329407867636811
-0.001852,1.316200188029506,0.001336044238918516
-0.00185075,1.330846924863075,0.001349316981481922
-0.0018495,1.334508609071466,0.001365907909686161
-0.00184825,1.341831977488249,0.00137254428096786
-0.001847,1.352817030113425,0.001382498837890408
-0.00184575,1.367463766946993,0.001399089766094655
-0.0018445,1.374787135363774,0.001405726137376351
-0.00184325,1.385772187988953,0.001415680694298903
-0.001841999999999999,1.400418924822527,0.001425635251221459
-0.00184075,1.415065661656088,0.001442226179425698
-0.0018395,1.426050714281269,0.001452180736348254
-0.00183825,1.43703576690644,0.001468771664552494
-0.001837,1.448020819531616,0.001475408035834192
-0.00183575,1.459005872156792,0.001485362592756741
-0.0018345,1.469990924781968,0.001498635335320139
-0.00183325,1.480975977407138,0.001508589892242682
-0.001832,1.495622714240711,0.001521862634806085
-0.001830749999999999,1.499284398449108,0.00153181719172864
-0.0018295,1.510269451074279,0.00154840811993288
-0.00182825,1.521254503699463,0.001555044491214583
-0.001827,1.539562924741415,0.001564999048137127
-0.00182575,1.55054797736659,0.001578271790700525
-0.0018245,1.557871345783371,0.001591544533263916
-0.00182325,1.576179766825334,0.001594862718904772
-0.001822,1.583503135242115,0.001608135461468163
-0.00182075,1.594488187867294,0.001618090018390718
-0.0018195,1.605473240492473,0.001631362760954123
-0.00181825,1.612796608909254,0.001647953689158363
-0.001817,1.627443345742821,0.001657908246080911
-0.00181575,1.638428398367997,0.00166786280300346
-0.0018145,1.653075135201565,0.001681135545566857
-0.00181325,1.667721872035126,0.001687771916848553
-0.001812,1.675045240451917,0.001697726473771104
-0.00181075,1.689691977285478,0.001710999216334496
-0.0018095,1.697015345702269,0.0017242719588979
-0.00180825,1.708000398327449,0.001730908330179608
-0.001807,1.71898545095262,0.001750817444024695
-0.00180575,1.733632187786188,0.001757453815306394
-0.0018045,1.73729387199458,0.001764090186588093
-0.00180325,1.75560229303654,0.001777362929151491
-0.001802,1.76292566145332,0.001797272042996578
-0.00180075,1.773910714078499,0.001807226599919135
-0.001799499999999999,1.78489576670368,0.001810544785559994
-0.00179825,1.795880819328851,0.001830453899405082
-0.001797,1.814189240370816,0.001833772085045935
-0.00179575,1.825174292995987,0.001843726641968479
-0.0017945,1.832497661412771,0.001853681198891028
-0.00179325,1.843482714037946,0.001870272127095275
-0.001792,1.858129450871514,0.001883544869658672
-0.00179075,1.872776187705075,0.001896817612222064
-0.0017895,1.876437871913474,0.001906772169144619
-0.001788249999999999,1.891084608747045,0.001913408540426323
-0.001787,1.898407977163826,0.001926681282989715
-0.00178575,1.916716398205789,0.001939954025553119
-0.0017845,1.924039766622569,0.00195322676811651
-0.00178325,1.938686503456137,0.001966499510679908
-0.001782,1.949671556081308,0.001976454067602452
-0.00178075,1.956994924498097,0.001979772253243306
-0.0017795,1.971641661331658,0.001993044995806697
-0.00177825,1.982626713956841,0.002002999552729252
-0.001777,1.993611766582021,0.002019590480933505
-0.00177575,2.004596819207192,0.002032863223496897
-0.0017745,2.015581871832368,0.002046135966060294
-0.00177325,2.030228608665936,0.002056090522982843
-0.001772,2.041213661291112,0.002062726894264542
-0.00177075,2.048537029707893,0.002075999636827933
-0.0017695,2.059522082333071,0.002089272379391337
-0.00176825,2.074168819166633,0.002095908750673033
-0.001767,2.085153871791815,0.002112499678877283
-0.00176575,2.092477240208604,0.002125772421440682
-0.0017645,2.103462292833775,0.00212909060708153
-0.00176325,2.114447345458951,0.002145681535285777
-0.001762,2.13275576650091,0.002152317906567476
-0.00176075,2.140079134917694,0.002162272463490024
-0.0017595,2.154725871751256,0.002178863391694264
-0.00175825,2.16937260858483,0.00218881794861682
-0.001756999999999999,2.176695977001621,0.002202090691180222
-0.00175575,2.191342713835182,0.002212045248102766
-0.0017545,2.202327766460362,0.002221999805025319
-0.00175325,2.213312819085533,0.002231954361947862
-0.001752,2.227959555919101,0.00224522710451126
-0.00175075,2.238944608544277,0.002258499847074658
-0.0017495,2.246267976961061,0.002268454403997206
-0.00174825,2.257253029586232,0.00227840896091975
-0.001747,2.271899766419804,0.002288363517842303
-0.001745749999999999,2.27922313483659,0.002301636260405707
-0.0017445,2.28288481904498,0.002314909002969098
-0.00174325,2.301193240086943,0.002324863559891651
-0.001742,2.308516608503724,0.002334818116814195
-0.00174075,2.315839976920508,0.002348090859377593
